Meassurement,Mean,Lower,Upper,Time
Ecos,11.355953210493961,10.672152389598835,12.101342921321024,246.2
EcosTrop,9.757170120854552,8.927366570595193,10.639754302333998,246.2
EcosTemp,5.387618023273761,4.424555132485145,6.37232772256756,246.2
Richness,22.54626977453813,20.1774519577561,25.299615786064194,247.2
RichnessTemp,2.3421202542985373,1.6557723867996095,3.3227348832881742,247.2
RichnessTrop,17.894741623672203,15.938021079858931,20.22675772538796,247.2
Ecos,7.4717425945919755,6.988425008901313,7.96053325148946,247.2
EcosTrop,6.835794923968253,6.317881522726561,7.354210702093354,247.2
EcosTemp,1.1278128213742895,0.81127162508839,1.5411964598802506,247.2
Richness,28.175711663574504,25.258516836164084,30.879599950773795,249.1
RichnessTemp,7.47259695576442,5.902531912208448,9.212861155272368,249.1
RichnessTrop,19.56078215433656,17.405295321619356,21.68553065974489,249.1
Ecos,6.43082060616773,6.004991747285589,6.856985729294363,249.1
EcosTrop,5.887065484866618,5.3858609036770435,6.341512776983702,249.1
EcosTemp,1.6130482170361327,1.317679880692983,1.9225506111666597,249.1
Richness,8.421896062186283,7.52278991494466,9.47698363432411,251
RichnessTemp,1.7146893725470167,1.1468722646647485,2.3164003593652707,251
RichnessTrop,4.648690951501017,3.990321328120886,5.350005362909734,251
Ecos,4.35737005243349,4.0676544179006715,4.700401187357613,251
EcosTrop,3.327020052947123,2.897350270827869,3.725197624425942,251
EcosTemp,0.8540721141914656,0.5971609410733388,1.1352808324150307,251
Richness,6.75835160794275,6.16253286265718,7.430306368267431,251.6
RichnessTemp,0.9914988297908469,0.7037424473640381,1.3298483617716244,251.6
RichnessTrop,4.14543579021917,3.6092850562710526,4.804964009858875,251.6
Ecos,4.435957132487402,4.168198323833211,4.744072051173177,251.6
EcosTrop,3.2161885379792414,2.8307670107669836,3.669315861527749,251.6
EcosTemp,0.6603804920508922,0.48602137943980406,0.872584349991095,251.6
Richness,57.873968818657396,53.42177809123366,62.87905786975776,253.3
RichnessTemp,7.876480270221217,6.229931397259273,9.816862899172323,253.3
RichnessTrop,47.32891790616845,43.493218577071744,51.390329473028366,253.3
Ecos,9.3519717596109,8.882624000371807,9.827027920912975,253.3
EcosTrop,8.191374508474457,7.727107829484925,8.65981000024668,253.3
EcosTemp,2.602339872709429,2.114499711351421,3.145384957637275,253.3
Richness,42.3470946653016,38.03814286559031,46.84585861857044,257.1
RichnessTemp,21.01559232403367,18.331685261011494,23.79758967935624,257.1
RichnessTrop,18.677196795663022,15.1849942319379,21.894998796249457,257.1
Ecos,8.2198562099584,7.641454554146642,8.750058369438143,257.1
EcosTrop,5.707176333619785,4.820827540685169,6.550826324911627,257.1
EcosTemp,3.9719439367760128,3.5194928219836044,4.366911852512079,257.1
Richness,82.98301170925768,75.89963244815715,90.88584317548087,262.5
RichnessTemp,16.20192999640534,13.23575673517534,19.39234223798809,262.5
RichnessTrop,64.75163990947092,58.80177809653169,70.77642665864494,262.5
Ecos,10.714386314025484,10.094179443846693,11.42628876139543,262.5
EcosTrop,8.568635099568333,7.949703368851223,9.19604127562846,262.5
EcosTemp,4.426214039489903,3.6386582378546612,5.247959517653552,262.5
Richness,115.69942515584461,106.32443350786187,125.02745980401559,267
RichnessTemp,43.531044585262194,38.26024611909169,48.65602376133022,267
RichnessTrop,73.36846979156238,66.60063086266156,80.84753126899584,267
Ecos,12.994117554164902,12.338321310754706,13.823642830558295,267
EcosTrop,9.909261993526467,9.097553477816824,10.712869675134803,267
EcosTemp,8.10346558720764,7.268623796016465,8.877330347418212,267
Richness,101.24192281683867,92.42210332694287,110.03633283805607,270.6
RichnessTemp,28.79460641950958,24.185042003993754,33.78239691803191,270.6
RichnessTrop,72.98853666757645,66.58274815063483,79.68980512313836,270.6
Ecos,11.838806051765626,11.167224276331105,12.515838467649393,270.6
EcosTrop,10.506688692638384,9.811861844333336,11.172090552516778,270.6
EcosTemp,4.60696628801505,3.9935944066055162,5.2636289293607526,270.6
