"","tbins","111","115","261","266","311","312","314","315","321","322","324","325","326","331","336","341","351","361","365","366","422","431","432","441","451","461","523","525","531","532","535","536","541","546","551","564","631","632","636","651"
"1",180.6,0.1548,75.0474,2.0326,2.1266,1.1516,0,0.7402,5.322,2.9016,21.8828,6.503,3.7492,0,7.308,0,2.2782,1.7376,48.171,0,0,1.794,0.9838,0,2.6894,0.9442,6.1236,0.8374,0,16.667,2.7326,0,0.5998,0.8534,0,0,0,6.2428,0.154,1.0962,0
"2",184.7,0,45.54,11.9288,5.1296,2,0,0,3.265,3.8084,23.1894,18.4858,12.2522,0.2706,9.1636,0,1.9698,2.8218,67.392,0.5626,1.51,3.9904,0,0,2.2832,0.5636,5.2676,1.9246,0.6296,17.3294,4.611,0.2802,1.4844,0.282,0.9992,0,0,6.5972,0.2876,1.0568,0
"3",188.8,0,59.3074,4.8624,6.3554,2.9484,0,0,2.0188,1.0974,20.4462,14.324,7.1818,0,9.4414,0,3.4952,4.1544,73.803,0.1592,2.639,1.544,0.9146,0,2.4136,0,7.0986,0.5738,0.9668,16.169,2.8696,0,1.3362,0,0,0,0,6.3476,1.1456,1.4046,0
"4",193,0,90.0112,12.0988,8.7672,1.6464,0,1.943,8.228,1.8402,20.5748,31.309,10.8792,0,11.099,0,4.7746,5.8248,77.3722,0,3.4056,0.9846,0,0.9566,2.954,0.6602,6.3918,0.8728,0.957,23.7632,4.2976,0,2.6372,0,0,0,0,6.9466,0.6592,3.473,0
"5",196.7,0,48.1574,6.7958,4.091,1.9644,0,1.1224,12.0676,0.5506,15.5568,10.35,7.457,0,8.7108,0,3.5086,3.1008,60.2282,0,1.7138,0.963,0.5584,0,2.9966,0.5594,6.4622,1.1054,0.9588,16.5204,5.0556,0.5612,1.8984,0.561,0.5444,0,0.5492,5.2782,1.11,3.1174,0
"6",199.8,0,63.9814,8.0688,7.3628,2.756,0,1.3348,7.6848,3.3434,21.7466,23.9264,11.3584,0,12.9358,0,4.0522,5.6274,54.4898,0,3.1792,0.5536,0.906,0,3.1526,0.9618,6.6626,2.4396,1.0956,24.247,4.0606,0.7922,0.9836,0.9992,0.5522,0,0,7.9466,0.9584,2.769,0
"7",204.9,0,46.1448,14.373,19.7202,0,0,0,11.4096,2.3894,16.7512,15.443,11.3692,0.2524,11.2192,0,1.6162,6.7238,74.6488,2.807,7.7128,0.508,0,0,3.347,2.8066,6.4172,2.5286,0,26.8656,3.6098,0,0.6968,0.6946,0.4486,0,0,5.009,0.7086,1.3818,0
"8",210.3,0.7876,50.0648,21.442,30.1796,0.7878,0,0,7.13,3.5232,8.091,42.1736,16.9452,0,15.994,0,2.5806,8.5182,166.2902,3.994,8.5198,0,0,0,2.746,1.7442,9.8596,3.3746,0,21.4422,1.7882,0,0,0.8026,0,0,0,6.9334,0,1,0
"9",213.8,0,101.2904,11.8568,15.2404,0,0,0.8624,16.2168,1.96,3.5506,15.033,5.4094,0,9.2418,0,1.861,8.3088,83.1224,3.8692,2.856,0.8612,0,0,2.84,1.71,5.4168,2.8226,0,13.9706,3.8454,0,0,0,0,0,0,3.5596,0,1,0
