Eco,Mean,Lower,Upper,Time
111,1.0764660747592962e-4,0,1.2941994650222415e-4,180.6
115,15.946803434430326,13.619624208381126,18.079760952965486,180.6
261,7.369283702974452e-4,4.045991614859886e-4,0.001219765967704678,180.6
311,5.641679310711891e-4,3.5380462189460443e-4,9.755864172999425e-4,180.6
312,1.0185915917622299e-4,0,1.1587792101076836e-4,180.6
314,1.037528830808714e-4,0,1.1803227601245658e-4,180.6
315,7.779444538307264e-4,4.671424384847156e-4,0.0013821845134089192,180.6
321,1.474361020929847e-4,1.1698562850656044e-4,2.0568727305398708e-4,180.6
322,0.5523421594955182,0.36216088475106784,0.8265203093959812,180.6
324,0.007304992381081267,0.003795072159864069,0.013921963769666396,180.6
325,0.0022695255723998837,0.0013218071571555428,0.004274475461597993,180.6
331,0.012138087846488862,0.006785334588158584,0.022627172392282364,180.6
334,1.0185915917622299e-4,0,1.1803227601245658e-4,180.6
335,1.7426358281211147e-4,1.2941994650222415e-4,2.474138305899544e-4,180.6
341,5.86459328332173e-4,3.3615960877351515e-4,0.0010506076972416306,180.6
351,2.6693939359738185e-4,1.75569077769077e-4,4.419320164319127e-4,180.6
352,1.1168645879502553e-4,0,1.3810833554191366e-4,180.6
361,5.953872501248703,4.608789144811333,7.411591511035066,180.6
422,1.7762653263269062e-4,1.3299022613402344e-4,2.597534447569636e-4,180.6
431,3.739575442967333e-4,2.3144581415290613e-4,6.226544440571863e-4,180.6
441,6.209976017955618e-4,3.7048777600116173e-4,0.0011171861009141503,180.6
451,1.5286325754710332e-4,1.1595427284552139e-4,2.1737404200372948e-4,180.6
461,4.731701928305741e-4,2.924806567117628e-4,8.275869384249124e-4,180.6
525,1.028060211285472e-4,0,1.1587792101076836e-4,180.6
531,0.053083911347387984,0.02992729441829043,0.09514119258303355,180.6
532,2.7133751037948924e-4,1.7952460805926323e-4,4.22502995477666e-4,180.6
533,1.589301175073909e-4,1.21375962365834e-4,2.2940660880852676e-4,180.6
541,1.6443806024022607e-4,1.2508495463489451e-4,2.341661907413665e-4,180.6
631,0.010485226900834671,0.005234488209678484,0.020116986213809966,180.6
632,1.1168645879502553e-4,0,1.367733475649264e-4,180.6
636,3.5238384412646334e-4,2.1413994619658313e-4,5.890840130363882e-4,180.6
115,8.020306482264159,6.503612161095839,9.643962998233754,184.7
215,1.0568181432726524e-4,0,1.260383632295469e-4,184.7
261,0.004905567838969213,0.0024525658832325594,0.009908160478070326,184.7
311,0.011738903416012754,0.005820500151046437,0.025594898804722266,184.7
315,2.867544039194756e-4,1.772575364220112e-4,5.08033815335682e-4,184.7
322,0.08109404577527093,0.04425302505082934,0.1434414983374453,184.7
324,0.05480518180947623,0.02797682635253699,0.10188901676033767,184.7
325,0.3443652038316055,0.22087939124244477,0.519852172174675,184.7
331,0.004528892884858103,0.002212983730938314,0.009241417151390388,184.7
334,1.037528830808714e-4,0,1.2705774085403464e-4,184.7
341,1.8055303617594767e-4,1.2246188932889517e-4,2.7804691747470927e-4,184.7
351,5.66748743377923e-4,3.2256398059391845e-4,0.0010820723401807504,184.7
361,5.342111294560388,4.137537963370691,6.821385366114159,184.7
422,9.437612702058824e-4,5.218373318123821e-4,0.0018834998209699624,184.7
441,0.0012470723836159586,6.224467599566326e-4,0.002755613762008968,184.7
451,1.1168645879502553e-4,0,1.4996914338002583e-4,184.7
461,3.4397178395667984e-4,1.9850871529690116e-4,6.516718148876763e-4,184.7
531,0.01884517582377411,0.009786699364455257,0.040045450956572845,184.7
532,0.009607459760479909,0.004508542805267872,0.018029086546608966,184.7
533,0.001421635241480167,7.118829221451208e-4,0.002898786880660572,184.7
631,0.003373417741479061,0.001721856844574016,0.007358549519583117,184.7
636,3.683005481178486e-4,2.236934100668556e-4,7.081935282739623e-4,184.7
115,11.577946343743728,9.518667943546864,13.663794338111032,188.8
261,0.004102996300740102,0.0020936460410728034,0.0086060974278873,188.8
311,0.3044126870728371,0.18800890953964577,0.4934241928625233,188.8
315,1.1803227601245658e-4,0,1.5559730998846247e-4,188.8
322,0.07293996395897956,0.040096541127103785,0.13488774648520152,188.8
324,0.020230688060561504,0.010511374439308562,0.03708251039212982,188.8
325,0.005230383715949698,0.0027729942276722413,0.010663021013610142,188.8
